gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wkpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
TRLH1/1000370304,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000370304?gameHash=5c2601d781d8429c&amp;tab=overview,WCS,2014,,0,2014-09-27 07:38:16,1,4.14,9,Red,bot,Sneaky,Cloud9,Lucian,Lee Sin,Tristana,Kha'Zix,,,2153,0,5,3,4,12,19,0,0,0,0,0,0,0,0,0.3344,0.8639,,,,,,,,,,,,,,,,,,,,,,,,0,0,21734,605.6851,0.285467,11,0.3065,4,0.1115,3,0,0,13526,9131,254.4635,0.27697,13170,,278,264,14,11,3,7.7473,3064,3279,88,2734,2950,73,330,329,15,4791,5173,125,4382,5260,127,409,-87,-2
TRLH1/1000370304,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000370304?gameHash=5c2601d781d8429c&amp;tab=overview,WCS,2014,,0,2014-09-27 07:38:16,1,4.14,10,Red,sup,LemonNation,Cloud9,Morgana,Lee Sin,Tristana,Kha'Zix,,,2153,0,0,4,8,12,19,0,0,0,0,0,0,0,0,0.3344,0.8639,,,,,,,,,,,,,,,,,,,,,,,,0,0,12645,352.392,0.166087,34,0.9475,15,0.418,4,0,0,8797,4402,122.6753,0.13353,7895,,22,22,0,0,0,0.6131,2099,2830,2,1848,2921,10,251,-91,-8,3271,3779,5,2665,3677,14,606,102,-9
TRLH1/1000370304,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000370304?gameHash=5c2601d781d8429c&amp;tab=overview,WCS,2014,,0,2014-09-27 07:38:16,1,4.14,100,Blue,team,,Alliance,,Rumble,Syndra,Maokai,,,2153,1,19,12,55,19,12,4,1,0,0,1,,,,0.5295,0.8639,0,0,0,0,0,0,0,0,0,,0,0,,,,1,1,0,0,11,4,0,1,3,0,67056,1868.7227,,118,3.2884,29,0.8082,24,0,0,62394,40421,1126.4561,,54576,0.0348804,,851,99,80,19,26.4747,13273,18771,284,12849,18346,269,424,425,15,19984,28421,454,20643,27391,396,-659,1030,58
TRLH1/1000370304,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000370304?gameHash=5c2601d781d8429c&amp;tab=overview,WCS,2014,,0,2014-09-27 07:38:16,1,4.14,200,Red,team,,Cloud9,,Lee Sin,Tristana,Kha'Zix,,,2153,0,12,19,33,12,19,1,0,0,0,0,,,,0.3344,0.8639,1,0,0,0,0,0,0,0,0,,0,0,,,,0,0,1,1,4,11,1,0,0,3,76135,2121.7371,,94,2.6196,41,1.1426,16,0,0,54942,32969,918.7831,,52705,-0.0348804,,757,112,100,12,24.2174,12849,18346,269,13273,18771,284,-424,-425,-15,20643,27391,396,19984,28421,454,659,-1030,-58
TRLH1/1000370313,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000370313?gameHash=3d7a10dba7f8abdf&amp;tab=overview,WCS,2014,,0,2014-09-27 08:51:57,1,4.14,1,Blue,top,GodLike,LMQ,Maokai,Irelia,Syndra,Kha'Zix,,,2255,0,3,9,3,8,26,0,0,0,0,1,0,1,0,0.2129,0.9047,,,,,,,,,,,,,,,,,,,,,,,,0,0,10136,269.694,0.228943,6,0.1596,6,0.1596,2,0,0,9643,5055,134.5011,0.193027,9605,,184,180,4,4,0,4.8958,2169,2127,34,1815,2258,23,354,-131,11,3918,4350,67,3369,4139,53,549,211,14
TRLH1/1000370313,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000370313?gameHash=3d7a10dba7f8abdf&amp;tab=overview,WCS,2014,,0,2014-09-27 08:51:57,1,4.14,2,Blue,jng,NoName,LMQ,Jarvan IV,Irelia,Syndra,Kha'Zix,,,2255,0,1,4,6,8,26,0,0,0,0,1,0,1,0,0.2129,0.9047,,,,,,,,,,,,,,,,,,,,,,,,0,1,7577,201.6053,0.171143,9,0.2395,5,0.133,2,0,0,9496,4908,130.5898,0.187413,8900,,153,73,80,74,6,4.071,2285,2986,37,2058,2491,25,227,495,12,3986,5175,60,3562,4354,39,424,821,21
TRLH1/1000370313,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000370313?gameHash=3d7a10dba7f8abdf&amp;tab=overview,WCS,2014,,0,2014-09-27 08:51:57,1,4.14,3,Blue,mid,XiaoWeiXiao,LMQ,Fizz,Irelia,Syndra,Kha'Zix,,,2255,0,1,7,1,8,26,0,0,0,0,1,1,0,0,0.2129,0.9047,,,,,,,,,,,,,,,,,,,,,,,,0,1,12182,324.133,0.275156,13,0.3459,4,0.1064,3,0,0,9796,5208,138.5721,0.19887,9745,,222,216,6,6,0,5.9069,2891,3702,55,2958,4194,84,-67,-492,-29,4489,6014,99,5664,7363,152,-1175,-1349,-53
TRLH1/1000370313,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000370313?gameHash=3d7a10dba7f8abdf&amp;tab=overview,WCS,2014,,0,2014-09-27 08:51:57,1,4.14,4,Blue,bot,Vasilii,LMQ,Tristana,Irelia,Syndra,Kha'Zix,,,2255,0,2,2,4,8,26,1,0,0,0,0,0,0,0,0.2129,0.9047,,,,,,,,,,,,,,,,,,,,,,,,0,2,10706,284.8603,0.241818,6,0.1596,7,0.1863,0,0,0,13134,8546,227.388,0.326345,12265,,354,323,31,29,2,9.4191,3085,4581,90,3598,3845,85,-513,736,5,4935,7183,142,5870,6569,146,-935,614,-4
TRLH1/1000370313,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000370313?gameHash=3d7a10dba7f8abdf&amp;tab=overview,WCS,2014,,0,2014-09-27 08:51:57,1,4.14,5,Blue,sup,Mor,LMQ,Thresh,Irelia,Syndra,Kha'Zix,,,2255,0,1,4,7,8,26,0,0,0,0,1,0,1,0,0.2129,0.9047,,,,,,,,,,,,,,,,,,,,,,,,0,0,3672,97.7029,0.0829399,51,1.357,4,0.1064,6,0,0,7059,2471,65.7472,0.0943461,6315,,31,31,0,0,0,0.8248,1909,1608,15,2057,1753,3,-148,-145,12,2929,2958,18,3318,3389,9,-389,-431,9
TRLH1/1000370313,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1000370313?gameHash=3d7a10dba7f8abdf&amp;tab=overview,WCS,2014,,0,2014-09-27 08:51:57,1,4.14,6,Red,top,sOAZ,Fnatic,Rumble,Yasuo,Zilean,Alistar,,,2255,1,1,1,14,26,8,0,0,0,0,0,0,0,0,0.6918,0.9047,,,,,,,,,,,,,,,,,,,,,,,,0,0,18974,504.8514,0.214896,21,0.5588,1,0.0266,2,0,0,13119,8531,226.9889,0.166567,11860,,221,216,5,5,0,5.8803,1815,2258,23,2169,2127,34,-354,131,-11,3369,4139,53,3918,4350,67,-549,-211,-14
