gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wkpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
TRLH3/1000090106,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000090106?gameHash=b74c065963c8bd79,EU LCS,2014,Spring,0,2014-03-05 15:57:57,1,,10,Red,sup,nRated,SK Gaming,Annie,Kassadin,Elise,Lulu,,,2171,0,3,3,3,10,21,0,0,0,0,1,0,1,0,0.2764,0.8567,,,,,,,,,,,,,,,,,,,,,,,,0,0,12601,348.2543,0.169057,37,1.0226,2,0.0553,2,0,0,7879,3450,95.3478,0.115913,7060,,23,23,0,0,0,0.6357,1603,2294,0,1760,2654,1,-157,-360,-1,2852,4349,5,2395,3664,4,457,685,1
TRLH3/1000090106,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000090106?gameHash=b74c065963c8bd79,EU LCS,2014,Spring,0,2014-03-05 15:57:57,1,,100,Blue,team,,Gambit Gaming,,Pantheon,Nidalee,Ziggs,,,2171,1,21,10,44,21,10,2,0,0,0,0,,,,0.5804,0.8567,1,0,0,0,0,0,0,0,0,,0,0,,,,1,1,0,0,8,3,1,0,1,0,86702,2396.1861,,92,2.5426,16,0.4422,8,0,0,65900,43756,1209.286,,55462,0.136091,,858,175,154,21,28.5491,12593,18209,264,12747,17325,257,-154,884,7,20027,30173,429,20149,29055,408,-122,1118,21
TRLH3/1000090106,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000090106?gameHash=b74c065963c8bd79,EU LCS,2014,Spring,0,2014-03-05 15:57:57,1,,200,Red,team,,SK Gaming,,Kassadin,Elise,Lulu,,,2171,0,10,21,11,10,21,0,0,0,0,1,,,,0.2764,0.8567,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,1,1,3,8,0,1,0,1,74537,2059.9816,,93,2.5702,8,0.2211,4,0,0,51909,29765,822.6163,,48395,-0.136091,,819,166,150,16,27.2225,12747,17325,257,12593,18209,264,154,-884,-7,20149,29055,408,20027,30173,429,122,-1118,-21
TRLH3/1000100102,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000100102?gameHash=804952a259f6f0e7,EU LCS,2014,Spring,0,2014-03-05 17:10:51,1,,1,Blue,top,YoungBuck,Copenhagen Wolves,Trundle,Karthus,LeBlanc,Wukong,,,2381,0,0,1,1,2,11,0,0,0,0,0,0,0,0,0.0504,0.3276,,,,,,,,,,,,,,,,,,,,,,,,0,0,8178,206.0815,0.155585,18,0.4536,4,0.1008,0,0,0,10987,6159,155.2037,0.212028,11055,,269,256,13,10,3,6.7787,2821,4195,75,3082,4198,81,-261,-3,-6,4419,7029,129,4684,6918,135,-265,111,-6
TRLH3/1000100102,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000100102?gameHash=804952a259f6f0e7,EU LCS,2014,Spring,0,2014-03-05 17:10:51,1,,2,Blue,jng,Amazing,Copenhagen Wolves,Lee Sin,Karthus,LeBlanc,Wukong,,,2381,0,0,2,2,2,11,0,0,0,0,0,0,0,0,0.0504,0.3276,,,,,,,,,,,,,,,,,,,,,,,,0,0,3735,94.1201,0.0710576,15,0.378,3,0.0756,0,0,0,9186,4358,109.8194,0.150028,9840,,139,30,109,104,5,3.5027,2495,3614,52,3150,3692,49,-655,-78,3,3872,6598,78,4627,6384,77,-755,214,1
TRLH3/1000100102,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000100102?gameHash=804952a259f6f0e7,EU LCS,2014,Spring,0,2014-03-05 17:10:51,1,,3,Blue,mid,cowTard,Copenhagen Wolves,Gragas,Karthus,LeBlanc,Wukong,,,2381,0,0,2,1,2,11,0,0,0,0,0,0,0,0,0.0504,0.3276,,,,,,,,,,,,,,,,,,,,,,,,0,2,19011,479.0676,0.36168,18,0.4536,0,0,0,0,0,12755,7927,199.7564,0.272892,11995,,383,360,23,23,0,9.6514,3090,4718,90,3131,4795,83,-41,-77,7,4837,7640,152,4857,7892,141,-20,-252,11
TRLH3/1000100102,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000100102?gameHash=804952a259f6f0e7,EU LCS,2014,Spring,0,2014-03-05 17:10:51,1,,4,Blue,bot,FORG1VEN,Copenhagen Wolves,Jinx,Karthus,LeBlanc,Wukong,,,2381,0,2,2,0,2,11,0,0,0,0,0,0,0,0,0.0504,0.3276,,,,,,,,,,,,,,,,,,,,,,,,0,1,15649,394.3469,0.297719,6,0.1512,2,0.0504,0,0,0,13685,8857,223.1919,0.304907,13275,,379,343,36,36,0,9.5506,2579,2490,62,3223,2992,85,-644,-502,-23,3937,4198,102,4877,4830,142,-940,-632,-40
TRLH3/1000100102,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000100102?gameHash=804952a259f6f0e7,EU LCS,2014,Spring,0,2014-03-05 17:10:51,1,,5,Blue,sup,Unlimited,Copenhagen Wolves,Annie,Karthus,LeBlanc,Wukong,,,2381,0,0,4,1,2,11,0,0,0,0,0,0,0,1,0.0504,0.3276,,,,,,,,,,,,,,,,,,,,,,,,0,0,5990,150.945,0.113958,41,1.0332,5,0.126,4,0,0,6575,1747,44.0235,0.0601442,6285,,9,9,0,0,0,0.2268,1636,2103,2,1730,2992,3,-94,-889,-1,2280,3621,2,2329,4487,4,-49,-866,-2
TRLH3/1000100102,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000100102?gameHash=804952a259f6f0e7,EU LCS,2014,Spring,0,2014-03-05 17:10:51,1,,6,Red,top,Wickd,Alliance,Irelia,Kassadin,Lucian,Lulu,,,2381,1,1,0,3,11,2,0,0,0,0,0,0,0,0,0.2772,0.3276,,,,,,,,,,,,,,,,,,,,,,,,0,0,15734,396.4889,0.173118,16,0.4032,1,0.0252,1,0,0,15756,10928,275.3801,0.220021,14318,,343,335,8,6,2,8.6434,3082,4198,81,2821,4195,75,261,3,6,4684,6918,135,4419,7029,129,265,-111,6
TRLH3/1000100102,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH3/1000100102?gameHash=804952a259f6f0e7,EU LCS,2014,Spring,0,2014-03-05 17:10:51,1,,7,Red,jng,Shook,Alliance,Elise,Kassadin,Lucian,Lulu,,,2381,1,4,0,5,11,2,0,0,0,0,1,1,0,0,0.2772,0.3276,,,,,,,,,,,,,,,,,,,,,,,,0,0,13607,342.8895,0.149715,7,0.1764,7,0.1764,0,0,0,14667,9839,247.9378,0.198095,12800,,187,48,139,117,22,4.7123,3150,3692,49,2495,3614,52,655,78,-3,4627,6384,77,3872,6598,78,755,-214,-1
